name,brand,price,weight,height,bestuse,seasons,capacity
fly-creek-ul2,big-agnes,349.95,960,96,Backpacking,3-season,2-person
fly-creek-ul3,big-agnes,449.95,1450,107,Backpacking,3-season,3-person
salida-2,kelty,159.95,1700,102,Backpacking,3-season,2-person
jack-rabbit-sl3,big-agnes,359.95,2160,107,Backpacking,3-season,3-person
passage-2,rei,149,2210,107,Backpacking,3-season,2-person
copper-spur-ul2,big-agnes,399.95,1530,107,Backpacking,3-season,2-person
limelight-3,marmot,249,2690,117,Backpacking,3-season,3-person
fly-creek-ul4,big-agnes,499.95,1840,114,Backpacking,3-season,4-person
half-dome-4,rei,259,3200,122,Backpacking,3-season,4-person
fly-creek-ul1,big-agnes,299.95,850,97,Backpacking,3-season,1-person
half-dome-2-plus,rei,199,2500,107,Backpacking,3-season,2-person
quarter-dome-t2-plus,rei,299,1930,104,Backpacking,3-season,2-person
camp-dome-2,rei,99.5,2240,107,Backpacking,3-season,2-person
half-dome-2,rei,179,2270,102,Backpacking,3-season,2-person
lynx-pass-1,big-agnes,179.95,1590,94,Backpacking,3-season,1-person
limelight-2,marmot,199,2100,104,Backpacking,3-season,2-person
quarter-dome-t3,rei,329,2130,109,Backpacking,3-season,3-person
copper-spur-ul4,big-agnes,599.95,2520,127,Backpacking,3-season,4-person
copper-spur-ul3,big-agnes,499.95,1900,112,Backpacking,3-season,3-person
quarter-dome-t3-plus,rei,349,2350,112,Backpacking,3-season,3-person
zia-3-package,sierra-designs,239,2920,114,Backpacking,3-season,3-person
hubba-1p,msr,249.95,1280,102,Backpacking,3-season,1-person
jack-rabbit-sl2,big-agnes,279.95,1730,102,Backpacking,3-season,2-person
ve-25,north-face,579,4900,100,Mountaineering,4-season,3-person
losi-3p,nemo,399.95,2640,122,Backpacking,3-season,3-person
seedhouse-sl2,big-agnes,319.95,1300,97,Backpacking,3-season,2-person
hubba-hubba-2p,msr,299.95,1810,102,Backpacking,3-season,2-person
seedhouse-sl1,big-agnes,249.95,1080,96,Backpacking,3-season,1-person
limelight-4,marmot,299,3770,127,Backpacking,3-season,4-person
quarter-dome-t1,rei,199,1280,94,Backpacking,3-season,1-person
obi-2p,nemo,389.95,1360,107,Backpacking,3-season,2-person
string-ridge-2,big-agnes,499.95,2270,107,Backpacking,4-season,2-person
mountain-3,rei,399,4000,112,Mountaineering,4-season,3-person
tadpole-23,north-face,199,2100,104,Backpacking,3-season,2-person
cirque-asl-2,rei,309,2270,102,Backpacking,3-4-season,2-person
arete-3-asl,rei,339,2690,112,Backpacking,3-4-season,3-person
mountain-25,north-face,499,3860,104,Mountaineering,4-season,2-person
arete-asl-2,rei,299,2410,102,Backpacking,3-4-season,2-person
phoenix-2,north-face,299,1640,99,Backpacking,3-season,2-person
carbon-reflex-3,msr,599.95,1960,117,Backpacking,3-season,3-person
