"DayOfWeekStr","starttime","endtime","PermitLocation","optionaltext","ColdTruck","Applicant","Location"
"Friday","10AM","10PM","200 SHOTWELL ST","Tacos, Burritos, Tortas, Quesadillas, Mexican Drinks, Aguas Frescas","N","Santana ESG, Inc.","(37.7651967350509,-122.416451692902)"
"Friday","1PM","2PM","180 MONTGOMERY ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7907890558203,-122.402273431333)"
"Friday","10AM","11AM","101 EXECUTIVE PARK BLVD","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7111991003088,-122.394693339395)"
"Friday","10AM","3PM","290 TOWNSEND ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.7773000262759,-122.394812784799)"
"Friday","10AM","11AM","299 ILLINOIS ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering",NA
"Friday","10AM","11AM","1828 EGBERT AVE","Cold Truck: Cheeseburgers, Burgers, Chicken Bake, Chili Dogs, Hot Dogs, Corn Dogs, Cup of Noodles, Egg Muffins, Tamales, Hot Sandwiches Quesadillas, Gatorade, Juice, Soda, Mikl, Coffee, Hot Cocoa, Hot Tea, Flan, Fruits, Fruit Salad, Yogurt, Candy, Chips,  Donuts, Cookies, Granola, Muffins & Various Drinks & Pre-Packaged Snacks.","Y","Bach Catering","(37.7270392647114,-122.400141029645)"
"Friday","10AM","11AM","560 NATOMA ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7791347875605,-122.409112429172)"
"Friday","10AM","11AM","301 EXECUTIVE PARK BLVD","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7111428086172,-122.390768390822)"
"Friday","10AM","11AM","500 16TH ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7669552085597,-122.389155218908)"
"Friday","10AM","11AM","1450 WALLACE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7259394852676,-122.388280728611)"
"Friday","10AM","11AM","2525 MARIN ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7481349335447,-122.402362570049)"
"Friday","1PM","2PM","3335 17TH ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7633319911646,-122.420235403432)"
"Friday","10AM","11AM","3450 03RD ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7456828142552,-122.387911761433)"
"Friday","10AM","11AM","835 JAMESTOWN AVE","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7166561002993,-122.390559039934)"
"Friday","10AM","11AM","350 08TH ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7741429232436,-122.409095016264)"
"Friday","10AM","11AM","525 PHELPS ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7421620878271,-122.389107048701)"
"Friday","10AM","11AM","2150 CESAR CHAVEZ ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7497006783758,-122.397932791641)"
"Friday","10AM","11AM","2045 EVANS AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7477067391559,-122.396413656839)"
"Friday","10AM","11AM","2145 MARKET ST","Cold Truck: Breakfast, Sandwiches, Salads, Pre-Packaged Snacks, Beverages","Y","BH & MT LLC","(37.7667124225934,-122.429712749525)"
"Friday","10AM","11AM","1477 GROVE ST","Cold Truck: Breakfast, Sandwiches, Salads, Pre-Packaged Snacks, Beverages","Y","BH & MT LLC","(37.7755007902079,-122.44089299009)"
"Friday","10AM","11AM","2701 GREEN ST","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.7950473983156,-122.443611961361)"
"Friday","10AM","11AM","3100 PACIFIC AVE","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.7919274798426,-122.446351899572)"
"Friday","12PM","1PM","701 16TH ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7666322775493,-122.392728509584)"
"Friday","11AM","12PM","1135 REVERE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.726685271787,-122.381502925492)"
"Friday","12PM","1PM","1118 MISSION ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7789072614613,-122.411420115933)"
"Friday","12PM","1PM","1000 HOLLISTER AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7187638807592,-122.390579577708)"
"Friday","12AM","5AM","1200 MISSISSIPPI ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7508581374316,-122.394102374471)"
