Player,Team,Position,Experience,Salary,Rank,Age,GP,GS,MIN,FGM,FGA,Points3,Points3_atts,Points2,Points2_atts,FTM,FTA,OREB,DREB,AST,STL,BLK,TO
Al Horford,BOS,C,9,26540100,4,30,68,68,2193,379,801,86,242,293,559,108,135,95,369,337,52,87,116
Amir Johnson,BOS,PF,11,1.20E+07,6,29,80,77,1608,213,370,27,66,186,304,67,100,117,248,140,52,62,77
Avery Bradley,BOS,SG,6,8269663,5,26,55,55,1835,359,775,108,277,251,498,68,93,65,269,121,68,11,88
Demetrius Jackson,BOS,PG,R,1450000,15,22,5,0,17,3,4,1,1,2,3,3,6,2,2,3,0,0,0
Gerald Green,BOS,SF,9,1410598,11,31,47,0,538,95,232,39,111,56,121,33,41,17,68,33,9,7,25
Isaiah Thomas,BOS,PG,5,6587132,1,27,76,76,2569,682,1473,245,646,437,827,590,649,43,162,449,70,13,210
Jae Crowder,BOS,SF,4,6286408,3,26,72,72,2335,333,720,157,394,176,326,176,217,48,367,155,72,23,79
James Young,BOS,SG,2,1825200,13,21,29,0,220,25,58,12,35,13,23,6,9,6,20,4,10,2,4
Jaylen Brown,BOS,SF,R,4743000,8,20,78,20,1341,192,423,46,135,146,288,85,124,45,175,64,35,18,68
Jonas Jerebko,BOS,PF,6,5.00E+06,10,29,78,6,1232,114,262,45,130,69,132,26,37,60,213,71,26,17,39
Jordan Mickey,BOS,PF,1,1223653,14,22,25,1,141,15,34,0,1,15,33,8,14,13,21,7,3,6,9
Kelly Olynyk,BOS,C,3,3094014,7,25,75,6,1538,260,508,68,192,192,316,90,123,72,288,148,43,29,96
Marcus Smart,BOS,SG,2,3578880,2,22,79,24,2399,269,749,94,332,175,417,203,250,78,228,364,125,34,159
Terry Rozier,BOS,PG,1,1906440,9,22,74,0,1263,151,411,57,179,94,232,51,66,40,187,131,45,11,47
Tyler Zeller,BOS,C,4,8.00E+06,12,27,51,5,525,78,158,0,1,78,157,22,39,43,81,42,7,21,20
Channing Frye,CLE,C,10,7806971,7,33,74,15,1398,238,520,137,335,101,185,63,74,37,253,45,33,37,53
Dahntay Jones,CLE,SF,12,18255,20,36,1,0,12,3,8,0,2,3,6,3,4,1,1,1,0,0,1
Deron Williams,CLE,PG,11,259626,11,32,24,4,486,68,147,22,53,46,94,21,25,1,44,86,6,6,40
Derrick Williams,CLE,PF,5,268029,12,25,25,0,427,54,107,21,52,33,55,27,39,3,54,14,5,2,14
Edy Tavares,CLE,C,1,5145,18,24,1,0,24,3,4,0,0,3,4,0,1,4,6,1,0,6,2
Iman Shumpert,CLE,SG,5,9700000,4,26,76,31,1937,201,489,94,261,107,228,71,90,39,180,109,62,27,78
J.R. Smith,CLE,SG,12,12800000,8,31,41,35,1187,123,356,95,271,28,85,10,15,17,96,62,40,11,26
James Jones,CLE,SF,13,1551659,15,36,48,2,381,44,92,31,66,13,26,13,20,3,35,14,7,10,10
Kay Felder,CLE,PG,R,543471,13,21,42,0,386,62,158,7,22,55,136,35,49,3,38,58,18,7,31
Kevin Love,CLE,PF,8,21165675,5,28,60,60,1885,370,867,145,389,225,478,257,295,148,518,116,53,22,122
Kyle Korver,CLE,SG,13,5239437,9,35,35,1,859,131,269,97,200,34,69,14,15,7,90,35,11,8,29
Kyrie Irving,CLE,PG,5,17638063,2,24,72,72,2525,671,1420,177,441,494,979,297,328,52,178,418,83,25,180
LeBron James,CLE,SF,13,30963450,1,32,74,74,2794,736,1344,124,342,612,1002,358,531,97,543,646,92,44,303
Richard Jefferson,CLE,SF,15,2500000,6,36,79,13,1614,153,343,62,186,91,157,80,108,28,174,78,26,10,52
Tristan Thompson,CLE,C,5,15330435,3,25,78,78,2336,262,437,0,3,262,434,106,213,287,429,77,39,84,64
Bruno Caboclo,TOR,SF,2,1589640,17,21,9,0,40,6,16,2,6,4,10,0,0,5,5,4,2,1,2
Cory Joseph,TOR,SG,5,7330000,4,25,80,22,2003,299,661,48,135,251,526,94,122,52,184,265,66,13,109
Delon Wright,TOR,PG,1,1577280,14,24,27,0,446,49,116,10,30,39,86,42,55,16,32,57,27,11,25
DeMar DeRozan,TOR,SG,7,26540100,1,27,74,74,2620,721,1545,33,124,688,1421,545,647,70,316,290,78,13,180
DeMarre Carroll,TOR,SF,7,14200000,5,30,72,72,1882,220,549,109,320,111,229,89,117,63,212,74,81,27,54
Fred VanVleet,TOR,PG,R,543471,15,22,37,0,294,39,111,11,29,28,82,18,22,4,38,35,17,2,15
Jakob Poeltl,TOR,C,R,2703960,12,21,54,4,626,67,115,0,0,67,115,31,57,78,87,12,18,20,29
Jonas Valanciunas,TOR,C,4,14382022,3,24,80,80,2066,391,702,1,2,390,700,176,217,226,533,57,37,63,106
Kyle Lowry,TOR,PG,10,1.20E+07,2,30,60,60,2244,426,918,193,468,233,450,299,365,48,239,417,88,19,173
Lucas Nogueira,TOR,C,2,1921320,9,24,57,6,1088,103,156,3,12,100,144,44,67,82,161,42,52,90,46
Norman Powell,TOR,SG,1,874636,7,23,76,18,1368,227,506,56,173,171,333,126,159,26,142,82,51,14,70
P.J. Tucker,TOR,SF,5,5300000,13,31,24,4,609,52,128,24,60,28,68,11,16,23,106,26,31,5,14
Pascal Siakam,TOR,PF,R,1196040,10,22,55,38,859,103,205,1,7,102,198,22,32,64,122,17,26,45,33
Patrick Patterson,TOR,PF,6,6050000,6,27,65,8,1599,154,384,94,253,60,131,43,60,62,229,76,40,23,38
Serge Ibaka,TOR,PF,7,12250000,11,27,23,23,712,128,279,41,103,87,176,30,34,29,127,15,7,33,39
Bojan Bogdanovic,WAS,SF,2,3730653,10,27,26,0,601,107,234,45,115,62,119,71,76,14,66,21,10,4,38
Bradley Beal,WAS,SG,4,22116750,2,23,77,77,2684,637,1322,223,552,414,770,282,342,53,186,267,83,21,157
Brandon Jennings,WAS,PG,7,1200000,13,27,23,2,374,29,106,11,52,18,54,12,17,8,36,108,15,0,22
Chris McCullough,WAS,PF,1,1191480,17,21,2,0,8,0,1,0,1,0,0,1,2,0,2,0,1,0,1
Daniel Ochefu,WAS,C,R,543471,16,23,19,0,75,12,27,0,0,12,27,0,2,5,17,3,2,0,3
Ian Mahinmi,WAS,C,8,15944154,12,30,31,0,555,65,111,0,0,65,111,43,75,47,103,19,33,24,34
Jason Smith,WAS,C,8,5.00E+06,7,30,74,3,1068,174,329,37,78,137,251,35,51,64,194,37,21,55,58
John Wall,WAS,PG,6,16957900,1,26,78,78,2836,647,1435,89,272,558,1163,422,527,58,268,831,157,49,323
Marcin Gortat,WAS,C,9,1.20E+07,4,32,82,82,2556,390,674,0,2,390,672,103,159,238,611,121,40,65,118
Markieff Morris,WAS,PF,5,7400000,5,27,76,76,2374,406,889,71,196,335,693,180,215,107,385,126,82,42,129
Otto Porter,WAS,SF,3,5893981,3,23,80,80,2605,414,803,148,341,266,462,99,119,118,397,121,116,41,43
Sheldon McClellan,WAS,SG,R,543471,14,24,30,3,287,30,75,7,30,23,45,23,27,4,30,15,8,2,5
Tomas Satoransky,WAS,SG,R,2870813,8,25,57,3,719,61,146,9,37,52,109,23,33,25,58,92,26,6,38
Trey Burke,WAS,PG,3,3386598,9,24,57,0,703,116,255,31,70,85,185,22,29,7,40,100,11,5,48
DeAndre' Bembry,ATL,SF,R,1499760,14,22,38,1,371,47,98,1,18,46,80,6,16,14,45,28,8,5,16
Dennis Schroder,ATL,PG,3,2708582,1,23,79,78,2485,548,1215,100,294,448,921,218,255,42,206,499,74,16,258
Dwight Howard,ATL,C,12,23180275,3,31,74,74,2199,388,613,0,2,388,611,226,424,296,644,104,64,92,170
Ersan Ilyasova,ATL,PF,8,8400000,12,29,26,12,633,93,226,32,92,61,134,52,65,42,109,43,22,8,34
Jose Calderon,ATL,PG,11,392478,15,35,17,2,247,23,57,8,30,15,27,7,8,7,25,37,4,0,15
Kent Bazemore,ATL,SF,4,15730338,5,27,73,64,1963,295,721,92,266,203,455,119,168,45,186,177,91,52,125
Kris Humphries,ATL,PF,12,4.00E+06,11,31,56,4,689,87,214,19,54,68,160,64,82,60,146,29,15,21,28
Malcolm Delaney,ATL,PG,R,2500000,7,27,73,2,1248,145,388,26,110,119,278,75,93,11,113,193,39,1,95
Mike Dunleavy,ATL,SF,14,4837500,13,36,30,0,475,57,130,33,77,24,53,22,26,13,55,30,9,5,14
Mike Muscala,ATL,C,3,1015696,8,25,70,3,1237,170,337,46,110,124,227,49,64,76,164,95,30,41,55
Paul Millsap,ATL,PF,10,20072033,2,31,69,67,2343,430,972,75,241,355,731,311,405,111,422,252,90,62,158
Ryan Kelly,ATL,PF,3,418228,17,25,16,0,110,8,28,4,10,4,18,5,6,1,17,8,4,5,4
Thabo Sefolosha,ATL,SF,10,3850000,6,32,62,42,1596,174,395,41,120,133,275,55,75,54,216,107,96,31,58
Tim Hardaway,ATL,SG,3,2281605,4,24,79,30,2154,415,912,149,417,266,495,164,214,35,189,182,55,15,106
Giannis Antetokounmpo,MIL,SF,3,2995421,1,22,80,80,2845,656,1259,49,180,607,1079,471,612,142,558,434,131,151,234
Greg Monroe,MIL,C,6,17100000,5,26,81,0,1823,387,726,0,4,387,722,177,239,167,365,187,92,38,140
Jabari Parker,MIL,PF,2,5374320,6,21,51,50,1728,399,814,65,178,334,636,162,218,79,235,142,51,22,92
Jason Terry,MIL,SG,17,1551659,7,39,74,0,1365,105,243,73,171,32,72,24,29,15,91,98,45,20,36
John Henson,MIL,C,4,12517606,9,26,58,39,1123,159,309,0,1,159,308,74,107,92,203,57,29,78,53
Khris Middleton,MIL,SF,4,15200000,11,25,29,23,889,150,333,45,104,105,229,81,92,11,112,99,41,7,65
Malcolm Brogdon,MIL,SG,R,925000,4,24,75,28,1982,290,635,78,193,212,442,109,126,47,166,317,84,12,113
Matthew Dellavedova,MIL,PG,3,9607500,3,26,76,54,1986,208,534,79,215,129,319,82,96,24,123,357,53,0,133
Michael Beasley,MIL,PF,8,1403611,10,28,56,6,935,216,406,18,43,198,363,78,105,40,153,53,28,27,66
Mirza Teletovic,MIL,PF,4,10500000,8,31,70,2,1133,156,418,104,305,52,113,35,45,11,151,48,12,13,37
Rashad Vaughn,MIL,SG,1,1811040,13,20,41,2,458,57,156,26,81,31,75,2,5,4,45,23,19,10,14
Spencer Hawes,MIL,PF,9,6348759,15,28,19,0,171,30,59,9,26,21,33,14,18,6,39,19,2,4,9
