"player","team","position","height","weight","age","experience","college","salary","games","minutes","points","points3","points2","points1"
"Al Horford","BOS","C",82,245,30,9,"University of Florida",26540100,68,2193,952,86,293,108
"Amir Johnson","BOS","PF",81,240,29,11,"",1.2e+07,80,1608,520,27,186,67
"Avery Bradley","BOS","SG",74,180,26,6,"University of Texas at Austin",8269663,55,1835,894,108,251,68
"Demetrius Jackson","BOS","PG",73,201,22,0,"University of Notre Dame",1450000,5,17,10,1,2,3
"Gerald Green","BOS","SF",79,205,31,9,"",1410598,47,538,262,39,56,33
"Isaiah Thomas","BOS","PG",69,185,27,5,"University of Washington",6587132,76,2569,2199,245,437,590
"Jae Crowder","BOS","SF",78,235,26,4,"Marquette University",6286408,72,2335,999,157,176,176
"James Young","BOS","SG",78,215,21,2,"University of Kentucky",1825200,29,220,68,12,13,6
"Jaylen Brown","BOS","SF",79,225,20,0,"University of California",4743000,78,1341,515,46,146,85
"Jonas Jerebko","BOS","PF",82,231,29,6,"",5e+06,78,1232,299,45,69,26
"Jordan Mickey","BOS","PF",80,235,22,1,"Louisiana State University",1223653,25,141,38,0,15,8
"Kelly Olynyk","BOS","C",84,238,25,3,"Gonzaga University",3094014,75,1538,678,68,192,90
"Marcus Smart","BOS","SG",76,220,22,2,"Oklahoma State University",3578880,79,2399,835,94,175,203
"Terry Rozier","BOS","PG",74,190,22,1,"University of Louisville",1906440,74,1263,410,57,94,51
"Tyler Zeller","BOS","C",84,253,27,4,"University of North Carolina",8e+06,51,525,178,0,78,22
"Channing Frye","CLE","C",83,255,33,10,"University of Arizona",7806971,74,1398,676,137,101,63
"Dahntay Jones","CLE","SF",78,225,36,12,"Duke University",18255,1,12,9,0,3,3
"Deron Williams","CLE","PG",75,200,32,11,"University of Illinois at Urbana-Champaign",259626,24,486,179,22,46,21
"Derrick Williams","CLE","PF",80,240,25,5,"University of Arizona",268029,25,427,156,21,33,27
"Edy Tavares","CLE","C",87,260,24,1,"",5145,1,24,6,0,3,0
"Iman Shumpert","CLE","SG",77,220,26,5,"Georgia Institute of Technology",9700000,76,1937,567,94,107,71
"J.R. Smith","CLE","SG",78,225,31,12,"",12800000,41,1187,351,95,28,10
"James Jones","CLE","SF",80,218,36,13,"University of Miami",1551659,48,381,132,31,13,13
"Kay Felder","CLE","PG",69,176,21,0,"Oakland University",543471,42,386,166,7,55,35
"Kevin Love","CLE","PF",82,251,28,8,"University of California, Los Angeles",21165675,60,1885,1142,145,225,257
"Kyle Korver","CLE","SG",79,212,35,13,"Creighton University",5239437,35,859,373,97,34,14
"Kyrie Irving","CLE","PG",75,193,24,5,"Duke University",17638063,72,2525,1816,177,494,297
"LeBron James","CLE","SF",80,250,32,13,"",30963450,74,2794,1954,124,612,358
"Richard Jefferson","CLE","SF",79,233,36,15,"University of Arizona",2500000,79,1614,448,62,91,80
"Tristan Thompson","CLE","C",81,238,25,5,"University of Texas at Austin",15330435,78,2336,630,0,262,106
"Bruno Caboclo","TOR","SF",81,218,21,2,"",1589640,9,40,14,2,4,0
"Cory Joseph","TOR","SG",75,193,25,5,"University of Texas at Austin",7330000,80,2003,740,48,251,94
"Delon Wright","TOR","PG",77,183,24,1,"University of Utah",1577280,27,446,150,10,39,42
"DeMar DeRozan","TOR","SG",79,221,27,7,"University of Southern California",26540100,74,2620,2020,33,688,545
"DeMarre Carroll","TOR","SF",80,215,30,7,"University of Missouri",14200000,72,1882,638,109,111,89
"Fred VanVleet","TOR","PG",72,195,22,0,"Wichita State University",543471,37,294,107,11,28,18
"Jakob Poeltl","TOR","C",84,248,21,0,"University of Utah",2703960,54,626,165,0,67,31
"Jonas Valanciunas","TOR","C",84,265,24,4,"",14382022,80,2066,959,1,390,176
"Kyle Lowry","TOR","PG",72,205,30,10,"Villanova University",1.2e+07,60,2244,1344,193,233,299
"Lucas Nogueira","TOR","C",84,241,24,2,"",1921320,57,1088,253,3,100,44
"Norman Powell","TOR","SG",76,215,23,1,"University of California, Los Angeles",874636,76,1368,636,56,171,126
"P.J. Tucker","TOR","SF",78,245,31,5,"University of Texas at Austin",5300000,24,609,139,24,28,11
"Pascal Siakam","TOR","PF",81,230,22,0,"New Mexico State University",1196040,55,859,229,1,102,22
"Patrick Patterson","TOR","PF",81,230,27,6,"University of Kentucky",6050000,65,1599,445,94,60,43
"Serge Ibaka","TOR","PF",82,235,27,7,"",12250000,23,712,327,41,87,30
"Bojan Bogdanovic","WAS","SF",80,216,27,2,"",3730653,26,601,330,45,62,71
"Bradley Beal","WAS","SG",77,207,23,4,"University of Florida",22116750,77,2684,1779,223,414,282
"Brandon Jennings","WAS","PG",73,170,27,7,"",1200000,23,374,81,11,18,12
"Chris McCullough","WAS","PF",83,200,21,1,"Syracuse University",1191480,2,8,1,0,0,1
"Daniel Ochefu","WAS","C",83,245,23,0,"Villanova University",543471,19,75,24,0,12,0
"Ian Mahinmi","WAS","C",83,250,30,8,"",15944154,31,555,173,0,65,43
"Jason Smith","WAS","C",84,245,30,8,"Colorado State University",5e+06,74,1068,420,37,137,35
"John Wall","WAS","PG",76,195,26,6,"University of Kentucky",16957900,78,2836,1805,89,558,422
"Marcin Gortat","WAS","C",83,240,32,9,"",1.2e+07,82,2556,883,0,390,103
