"player","team","position","height","weight","age","experience","salary"
"A.J. Hammons","DAL","C",84,260,24,0,650000
"Aaron Brooks","IND","PG",72,161,32,8,2700000
"Aaron Gordon","ORL","SF",81,220,21,2,4351320
"Adreian Payne","MIN","PF",82,237,25,2,2022240
"Al Horford","BOS","C",82,245,30,9,26540100
"Al Jefferson","IND","C",82,289,32,12,10230179
"Al-Farouq Aminu","POR","SF",81,220,26,6,7680965
"Alan Anderson","LAC","SF",78,220,34,7,1315448
"Alan Williams","PHO","C",80,260,24,1,874636
"Alec Burks","UTA","SG",78,214,25,5,10154495
"Alex Abrines","OKC","SG",78,190,23,0,5994764
"Alex Len","PHO","C",85,260,23,3,4823621
"Alex Poythress","PHI","PF",79,238,23,0,31969
"Alexis Ajinca","NOP","C",86,248,28,6,4600000
"Allen Crabbe","POR","SG",78,210,24,3,18500000
"Amir Johnson","BOS","PF",81,240,29,11,1.2e+07
"Andre Drummond","DET","C",83,279,23,4,22116750
"Andre Iguodala","GSW","SF",78,215,33,12,11131368
"Andre Roberson","OKC","SF",79,210,25,3,2183072
"Andrew Harrison","MEM","PG",78,213,22,0,945000
"Andrew Nicholson","BRK","PF",81,250,27,4,6088993
"Andrew Wiggins","MIN","SF",80,199,21,2,6006600
"Anthony Davis","NOP","C",82,253,23,4,22116750
"Anthony Morrow","CHI","SG",77,210,31,8,3488000
"Anthony Tolliver","SAC","PF",80,240,31,8,8e+06
"Archie Goodwin","BRK","SG",77,200,22,3,119494
"Aron Baynes","DET","C",82,260,30,4,6500000
"Arron Afflalo","SAC","SG",77,210,31,9,12500000
"Austin Rivers","LAC","SG",76,200,24,4,1.1e+07
"Avery Bradley","BOS","SG",74,180,26,6,8269663
"Axel Toupane","NOP","SF",79,197,24,1,20580
"Ben McLemore","SAC","SG",77,195,23,3,4008882
"Beno Udrih","DET","PG",75,205,34,12,1551659
"Bismack Biyombo","ORL","C",81,255,24,5,1.7e+07
"Blake Griffin","LAC","PF",82,251,27,6,20140838
"Boban Marjanovic","DET","C",87,290,28,1,7e+06
"Bobby Brown","HOU","PG",74,175,32,2,680534
"Bobby Portis","CHI","PF",83,230,21,1,1453680
"Bojan Bogdanovic","WAS","SF",80,216,27,2,3730653
"Boris Diaw","UTA","PF",80,250,34,13,7e+06
"Bradley Beal","WAS","SG",77,207,23,4,22116750
"Brandan Wright","MEM","PF",82,210,29,8,5700000
"Brandon Bass","LAC","PF",80,250,31,11,1551659
"Brandon Ingram","LAL","SF",81,190,19,0,5281680
"Brandon Jennings","WAS","PG",73,170,27,7,1200000
"Brandon Knight","PHO","SG",75,189,25,5,12606250
"Brandon Rush","MIN","SG",78,220,31,8,3500000
"Brian Roberts","CHO","PG",73,173,31,4,1050961
"Briante Weber","CHO","PG",74,165,24,1,102898
"Brice Johnson","LAC","PF",82,230,22,0,1273920
"Brook Lopez","BRK","C",84,275,28,8,21165675
"Bruno Caboclo","TOR","SF",81,218,21,2,1589640
"Bryn Forbes","SAS","SG",75,190,23,0,543471
"Buddy Hield","SAC","SG",76,214,23,0,3517200
"C.J. McCollum","POR","SG",76,200,25,3,3219579
"C.J. Miles","IND","SF",78,225,29,11,4583450
"C.J. Watson","ORL","PG",74,175,32,9,5e+06
"Cameron Payne","CHI","PG",75,185,22,1,2112480
"Caris LeVert","BRK","SF",79,203,22,0,1562280
"Carmelo Anthony","NYK","SF",80,240,32,13,24559380
"Chandler Parsons","MEM","SF",82,230,28,5,22116750
"Channing Frye","CLE","C",83,255,33,10,7806971
"Chasson Randle","NYK","PG",74,185,23,0,143860
"Cheick Diallo","NOP","PF",81,220,20,0,543471
"Chinanu Onuaku","HOU","C",82,245,20,0,543471
"Chris McCullough","WAS","PF",83,200,21,1,1191480
"Chris Paul","LAC","PG",72,175,31,11,22868828
"Christian Wood","CHO","PF",83,220,21,1,874636
"Clint Capela","HOU","C",82,240,22,2,1296240
"Cody Zeller","CHO","PF",84,240,24,3,5318313
"Cole Aldrich","MIN","C",83,250,28,6,7643979
"Corey Brewer","LAL","SF",81,186,30,9,7600000
"Cory Joseph","TOR","SG",75,193,25,5,7330000
"Courtney Lee","NYK","SG",77,200,31,8,11242000
"Cristiano Felicio","CHI","C",82,275,24,1,874636
"D.J. Augustin","ORL","PG",72,183,29,8,7250000
"D'Angelo Russell","LAL","PG",77,195,20,1,5332800
"Dahntay Jones","CLE","SF",78,225,36,12,18255
"Damian Jones","GSW","C",84,245,21,0,1171560
"Damian Lillard","POR","PG",75,195,26,4,24328425
"Damjan Rudez","ORL","SF",82,228,30,2,980431
"Daniel Ochefu","WAS","C",83,245,23,0,543471
"Danilo Gallinari","DEN","SF",82,225,28,7,15050000
"Danny Green","SAS","SG",78,215,29,7,1e+07
"Dante Cunningham","NOP","SF",80,230,29,7,2978250
"Dante Exum","UTA","PG",78,190,21,1,3940320
"Dario Saric","PHI","PF",82,223,22,0,2318280
"Darrell Arthur","DEN","PF",81,235,28,7,8070175
"Darren Collison","SAC","PG",72,175,29,7,5229454
"Darrun Hilliard","DET","SG",78,205,23,1,874060
"David Lee","SAS","PF",81,245,33,11,1551659
"David Nwaba","LAL","SG",76,209,24,0,73528
"David West","GSW","C",81,250,36,13,1551659
"Davis Bertans","SAS","PF",82,210,24,0,543471
"DeAndre Jordan","LAC","C",83,265,28,8,21165675
"DeAndre Liggins","DAL","SG",78,209,28,3,1015696
"DeAndre' Bembry","ATL","SF",78,210,22,0,1499760
"Dejounte Murray","SAS","PG",77,170,20,0,1180080
"Delon Wright","TOR","PG",77,183,24,1,1577280
"DeMar DeRozan","TOR","SG",79,221,27,7,26540100
"DeMarcus Cousins","NOP","C",83,270,26,6,16957900
"DeMarre Carroll","TOR","SF",80,215,30,7,14200000
"Demetrius Jackson","BOS","PG",73,201,22,0,1450000
"Dennis Schroder","ATL","PG",73,172,23,3,2708582
"Denzel Valentine","CHI","SG",78,212,23,0,2092200
"Deron Williams","CLE","PG",75,200,32,11,259626
"Derrick Favors","UTA","PF",82,265,25,6,11050000
"Derrick Jones","PHO","SF",79,190,19,0,543471
"Derrick Rose","NYK","PG",75,190,28,7,21323250
"Derrick Williams","CLE","PF",80,240,25,5,268029
"Devin Booker","PHO","SG",78,206,20,1,2223600
"Devin Harris","DAL","PG",75,192,33,12,4228000
"Dewayne Dedmon","SAS","C",84,245,27,3,2898000
"Deyonta Davis","MEM","C",83,237,20,0,1369229
"Diamond Stone","LAC","C",83,255,19,0,543471
"Dion Waiters","MIA","SG",76,225,25,4,2898000
"Dirk Nowitzki","DAL","PF",84,245,38,18,2.5e+07
"Domantas Sabonis","OKC","PF",83,240,20,0,2440200
"Donatas Motiejunas","NOP","PF",84,222,26,4,576724
"Dorian Finney-Smith","DAL","PF",80,220,23,0,543471
"Doug McDermott","OKC","SF",80,225,25,2,2483040
"Dragan Bender","PHO","PF",85,225,19,0,4276320
"Draymond Green","GSW","PF",79,230,26,4,15330435
"Dwight Howard","ATL","C",83,265,31,12,23180275
"Dwight Powell","DAL","C",83,240,25,2,8375000
"Dwyane Wade","CHI","SG",76,220,35,13,23200000
"E'Twaun Moore","NOP","SG",76,191,27,5,8081363
"Ed Davis","POR","PF",82,240,27,6,6666667
"Edy Tavares","CLE","C",87,260,24,1,5145
"Elfrid Payton","ORL","PG",76,185,22,2,2613600
"Elijah Millsap","PHO","SG",78,225,29,2,23069
"Emmanuel Mudiay","DEN","PG",77,200,20,1,3241800
"Enes Kanter","OKC","C",83,245,24,5,17145838
"Eric Bledsoe","PHO","PG",73,190,27,6,1.4e+07
"Eric Gordon","HOU","SG",76,215,28,8,12385364
"Ersan Ilyasova","ATL","PF",82,235,29,8,8400000
"Evan Fournier","ORL","SG",79,205,24,4,1.7e+07
"Evan Turner","POR","SF",79,220,28,6,16393443
"Frank Kaminsky","CHO","C",84,242,23,1,2730000
"Fred VanVleet","TOR","PG",72,195,22,0,543471
"Garrett Temple","SAC","SG",78,195,30,6,8e+06
"Gary Harris","DEN","SG",76,210,22,2,1655880
"George Hill","UTA","PG",75,188,30,8,8e+06
"Georges Niang","IND","PF",80,230,23,0,650000
"Georgios Papagiannis","SAC","C",85,240,19,0,2202240
"Gerald Green","BOS","SF",79,205,31,9,1410598
"Gerald Henderson","PHI","SG",77,215,29,7,9e+06
"Giannis Antetokounmpo","MIL","SF",83,222,22,3,2995421
"Goran Dragic","MIA","PG",75,190,30,8,15890000
"Gordon Hayward","UTA","SF",80,226,26,6,16073140
"Gorgui Dieng","MIN","PF",83,241,27,3,2348783
"Greg Monroe","MIL","C",83,265,26,6,17100000
"Harrison Barnes","DAL","PF",80,210,24,4,22116750
"Hassan Whiteside","MIA","C",84,265,27,4,22116750
"Henry Ellenson","DET","PF",83,245,20,0,1704120
"Ian Clark","GSW","SG",75,175,25,3,1015696
"Ian Mahinmi","WAS","C",83,250,30,8,15944154
"Iman Shumpert","CLE","SG",77,220,26,5,9700000
"Isaiah Canaan","CHI","SG",72,201,25,3,1015696
"Isaiah Taylor","HOU","PG",75,170,22,0,255000
"Isaiah Thomas","BOS","PG",69,185,27,5,6587132
"Isaiah Whitehead","BRK","PG",76,213,21,0,1074145
"Ish Smith","DET","PG",72,175,28,6,6e+06
"Ivica Zubac","LAL","C",85,265,19,0,1034956
"J.J. Barea","DAL","PG",72,185,32,10,4096950
"J.J. Redick","LAC","SG",76,190,32,10,7377500
"J.R. Smith","CLE","SG",78,225,31,12,12800000
"Jabari Parker","MIL","PF",80,250,21,2,5374320
"Jae Crowder","BOS","SF",78,235,26,4,6286408
"Jahlil Okafor","PHI","C",83,275,21,1,4788840
"Jake Layman","POR","SF",81,210,22,0,6e+05
"Jakob Poeltl","TOR","C",84,248,21,0,2703960
"Jamal Crawford","LAC","SG",77,200,36,16,13253012
"Jamal Murray","DEN","SG",76,207,19,0,3210840
"Jameer Nelson","DEN","PG",72,190,34,12,4540525
"James Ennis","MEM","SF",79,210,26,2,2898000
"James Harden","HOU","PG",77,220,27,7,26540100
"James Johnson","MIA","PF",81,250,29,7,4e+06
"James Jones","CLE","SF",80,218,36,13,1551659
"James Michael McAdoo","GSW","PF",81,230,24,2,980431
