"player","games_played","minutes","field_goals_made","field_goals_atts","field_goals_perc","points3_made","points3_atts","points3_perc","points2_made","points2_atts","points2_perc","points1_made","points1_atts","points1_perc","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls"
"Al Horford",68,2193,379,801,0.473,86,242,0.355,293,559,0.524,108,135,0.8,95,369,337,52,87,116,138
"Amir Johnson",80,1608,213,370,0.576,27,66,0.409,186,304,0.612,67,100,0.67,117,248,140,52,62,77,211
"Avery Bradley",55,1835,359,775,0.463,108,277,0.39,251,498,0.504,68,93,0.731,65,269,121,68,11,88,141
"Demetrius Jackson",5,17,3,4,0.75,1,1,1,2,3,0.667,3,6,0.5,2,2,3,0,0,0,0
"Gerald Green",47,538,95,232,0.409,39,111,0.351,56,121,0.463,33,41,0.805,17,68,33,9,7,25,48
"Isaiah Thomas",76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,590,649,0.909,43,162,449,70,13,210,167
"Jae Crowder",72,2335,333,720,0.463,157,394,0.398,176,326,0.54,176,217,0.811,48,367,155,72,23,79,161
"James Young",29,220,25,58,0.431,12,35,0.343,13,23,0.565,6,9,0.667,6,20,4,10,2,4,15
"Jaylen Brown",78,1341,192,423,0.454,46,135,0.341,146,288,0.507,85,124,0.685,45,175,64,35,18,68,142
"Jonas Jerebko",78,1232,114,262,0.435,45,130,0.346,69,132,0.523,26,37,0.703,60,213,71,26,17,39,122
"Jordan Mickey",25,141,15,34,0.441,0,1,0,15,33,0.455,8,14,0.571,13,21,7,3,6,9,12
"Kelly Olynyk",75,1538,260,508,0.512,68,192,0.354,192,316,0.608,90,123,0.732,72,288,148,43,29,96,207
"Marcus Smart",79,2399,269,749,0.359,94,332,0.283,175,417,0.42,203,250,0.812,78,228,364,125,34,159,192
"Terry Rozier",74,1263,151,411,0.367,57,179,0.318,94,232,0.405,51,66,0.773,40,187,131,45,11,47,69
"Tyler Zeller",51,525,78,158,0.494,0,1,0,78,157,0.497,22,39,0.564,43,81,42,7,21,20,61
"Channing Frye",74,1398,238,520,0.458,137,335,0.409,101,185,0.546,63,74,0.851,37,253,45,33,37,53,138
"Dahntay Jones",1,12,3,8,0.375,0,2,0,3,6,0.5,3,4,0.75,1,1,1,0,0,1,1
"Deron Williams",24,486,68,147,0.463,22,53,0.415,46,94,0.489,21,25,0.84,1,44,86,6,6,40,42
"Derrick Williams",25,427,54,107,0.505,21,52,0.404,33,55,0.6,27,39,0.692,3,54,14,5,2,14,27
"Edy Tavares",1,24,3,4,0.75,0,0,NA,3,4,0.75,0,1,0,4,6,1,0,6,2,3
"Iman Shumpert",76,1937,201,489,0.411,94,261,0.36,107,228,0.469,71,90,0.789,39,180,109,62,27,78,150
"J.R. Smith",41,1187,123,356,0.346,95,271,0.351,28,85,0.329,10,15,0.667,17,96,62,40,11,26,77
"James Jones",48,381,44,92,0.478,31,66,0.47,13,26,0.5,13,20,0.65,3,35,14,7,10,10,37
"Kay Felder",42,386,62,158,0.392,7,22,0.318,55,136,0.404,35,49,0.714,3,38,58,18,7,31,38
"Kevin Love",60,1885,370,867,0.427,145,389,0.373,225,478,0.471,257,295,0.871,148,518,116,53,22,122,125
"Kyle Korver",35,859,131,269,0.487,97,200,0.485,34,69,0.493,14,15,0.933,7,90,35,11,8,29,60
"Kyrie Irving",72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,297,328,0.905,52,178,418,83,25,180,157
"LeBron James",74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,358,531,0.674,97,543,646,92,44,303,134
"Richard Jefferson",79,1614,153,343,0.446,62,186,0.333,91,157,0.58,80,108,0.741,28,174,78,26,10,52,153
"Tristan Thompson",78,2336,262,437,0.6,0,3,0,262,434,0.604,106,213,0.498,287,429,77,39,84,64,176
"Bruno Caboclo",9,40,6,16,0.375,2,6,0.333,4,10,0.4,0,0,NA,5,5,4,2,1,2,4
"Cory Joseph",80,2003,299,661,0.452,48,135,0.356,251,526,0.477,94,122,0.77,52,184,265,66,13,109,140
"Delon Wright",27,446,49,116,0.422,10,30,0.333,39,86,0.453,42,55,0.764,16,32,57,27,11,25,31
"DeMar DeRozan",74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,545,647,0.842,70,316,290,78,13,180,134
"DeMarre Carroll",72,1882,220,549,0.401,109,320,0.341,111,229,0.485,89,117,0.761,63,212,74,81,27,54,143
"Fred VanVleet",37,294,39,111,0.351,11,29,0.379,28,82,0.341,18,22,0.818,4,38,35,17,2,15,36
"Jakob Poeltl",54,626,67,115,0.583,0,0,NA,67,115,0.583,31,57,0.544,78,87,12,18,20,29,113
"Jonas Valanciunas",80,2066,391,702,0.557,1,2,0.5,390,700,0.557,176,217,0.811,226,533,57,37,63,106,216
"Kyle Lowry",60,2244,426,918,0.464,193,468,0.412,233,450,0.518,299,365,0.819,48,239,417,88,19,173,170
"Lucas Nogueira",57,1088,103,156,0.66,3,12,0.25,100,144,0.694,44,67,0.657,82,161,42,52,90,46,137
"Norman Powell",76,1368,227,506,0.449,56,173,0.324,171,333,0.514,126,159,0.792,26,142,82,51,14,70,127
"P.J. Tucker",24,609,52,128,0.406,24,60,0.4,28,68,0.412,11,16,0.688,23,106,26,31,5,14,53
"Pascal Siakam",55,859,103,205,0.502,1,7,0.143,102,198,0.515,22,32,0.688,64,122,17,26,45,33,109
"Patrick Patterson",65,1599,154,384,0.401,94,253,0.372,60,131,0.458,43,60,0.717,62,229,76,40,23,38,120
"Serge Ibaka",23,712,128,279,0.459,41,103,0.398,87,176,0.494,30,34,0.882,29,127,15,7,33,39,76
"Bojan Bogdanovic",26,601,107,234,0.457,45,115,0.391,62,119,0.521,71,76,0.934,14,66,21,10,4,38,47
"Bradley Beal",77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,282,342,0.825,53,186,267,83,21,157,169
"Brandon Jennings",23,374,29,106,0.274,11,52,0.212,18,54,0.333,12,17,0.706,8,36,108,15,0,22,32
"Chris McCullough",2,8,0,1,0,0,1,0,0,0,NA,1,2,0.5,0,2,0,1,0,1,0
"Daniel Ochefu",19,75,12,27,0.444,0,0,NA,12,27,0.444,0,2,0,5,17,3,2,0,3,17
"Ian Mahinmi",31,555,65,111,0.586,0,0,NA,65,111,0.586,43,75,0.573,47,103,19,33,24,34,90
"Jason Smith",74,1068,174,329,0.529,37,78,0.474,137,251,0.546,35,51,0.686,64,194,37,21,55,58,168
"John Wall",78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,422,527,0.801,58,268,831,157,49,323,151
"Marcin Gortat",82,2556,390,674,0.579,0,2,0,390,672,0.58,103,159,0.648,238,611,121,40,65,118,213
"Markieff Morris",76,2374,406,889,0.457,71,196,0.362,335,693,0.483,180,215,0.837,107,385,126,82,42,129,254
"Otto Porter",80,2605,414,803,0.516,148,341,0.434,266,462,0.576,99,119,0.832,118,397,121,116,41,43,193
"Sheldon McClellan",30,287,30,75,0.4,7,30,0.233,23,45,0.511,23,27,0.852,4,30,15,8,2,5,17
"Tomas Satoransky",57,719,61,146,0.418,9,37,0.243,52,109,0.477,23,33,0.697,25,58,92,26,6,38,60
"Trey Burke",57,703,116,255,0.455,31,70,0.443,85,185,0.459,22,29,0.759,7,40,100,11,5,48,54
"DeAndre' Bembry",38,371,47,98,0.48,1,18,0.056,46,80,0.575,6,16,0.375,14,45,28,8,5,16,21
"Dennis Schroder",79,2485,548,1215,0.451,100,294,0.34,448,921,0.486,218,255,0.855,42,206,499,74,16,258,149
"Dwight Howard",74,2199,388,613,0.633,0,2,0,388,611,0.635,226,424,0.533,296,644,104,64,92,170,203
"Ersan Ilyasova",26,633,93,226,0.412,32,92,0.348,61,134,0.455,52,65,0.8,42,109,43,22,8,34,73
"Jose Calderon",17,247,23,57,0.404,8,30,0.267,15,27,0.556,7,8,0.875,7,25,37,4,0,15,14
"Kent Bazemore",73,1963,295,721,0.409,92,266,0.346,203,455,0.446,119,168,0.708,45,186,177,91,52,125,165
"Kris Humphries",56,689,87,214,0.407,19,54,0.352,68,160,0.425,64,82,0.78,60,146,29,15,21,28,69
"Malcolm Delaney",73,1248,145,388,0.374,26,110,0.236,119,278,0.428,75,93,0.806,11,113,193,39,1,95,112
"Mike Dunleavy",30,475,57,130,0.438,33,77,0.429,24,53,0.453,22,26,0.846,13,55,30,9,5,14,35
"Mike Muscala",70,1237,170,337,0.504,46,110,0.418,124,227,0.546,49,64,0.766,76,164,95,30,41,55,97
"Paul Millsap",69,2343,430,972,0.442,75,241,0.311,355,731,0.486,311,405,0.768,111,422,252,90,62,158,186
"Ryan Kelly",16,110,8,28,0.286,4,10,0.4,4,18,0.222,5,6,0.833,1,17,8,4,5,4,5
"Thabo Sefolosha",62,1596,174,395,0.441,41,120,0.342,133,275,0.484,55,75,0.733,54,216,107,96,31,58,97
"Tim Hardaway",79,2154,415,912,0.455,149,417,0.357,266,495,0.537,164,214,0.766,35,189,182,55,15,106,103
"Giannis Antetokounmpo",80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,471,612,0.77,142,558,434,131,151,234,246
"Greg Monroe",81,1823,387,726,0.533,0,4,0,387,722,0.536,177,239,0.741,167,365,187,92,38,140,168
"Jabari Parker",51,1728,399,814,0.49,65,178,0.365,334,636,0.525,162,218,0.743,79,235,142,51,22,92,111
"Jason Terry",74,1365,105,243,0.432,73,171,0.427,32,72,0.444,24,29,0.828,15,91,98,45,20,36,95
"John Henson",58,1123,159,309,0.515,0,1,0,159,308,0.516,74,107,0.692,92,203,57,29,78,53,151
"Khris Middleton",29,889,150,333,0.45,45,104,0.433,105,229,0.459,81,92,0.88,11,112,99,41,7,65,79
"Malcolm Brogdon",75,1982,290,635,0.457,78,193,0.404,212,442,0.48,109,126,0.865,47,166,317,84,12,113,140
"Matthew Dellavedova",76,1986,208,534,0.39,79,215,0.367,129,319,0.404,82,96,0.854,24,123,357,53,0,133,153
"Michael Beasley",56,935,216,406,0.532,18,43,0.419,198,363,0.545,78,105,0.743,40,153,53,28,27,66,92
"Mirza Teletovic",70,1133,156,418,0.373,104,305,0.341,52,113,0.46,35,45,0.778,11,151,48,12,13,37,109
"Rashad Vaughn",41,458,57,156,0.365,26,81,0.321,31,75,0.413,2,5,0.4,4,45,23,19,10,14,32
"Spencer Hawes",19,171,30,59,0.508,9,26,0.346,21,33,0.636,14,18,0.778,6,39,19,2,4,9,16
"Thon Maker",57,562,83,181,0.459,28,74,0.378,55,107,0.514,32,49,0.653,40,74,23,10,26,17,84
"Tony Snell",80,2336,246,541,0.455,144,355,0.406,102,186,0.548,47,58,0.81,22,226,96,54,14,55,125
"Aaron Brooks",65,894,121,300,0.403,48,128,0.375,73,172,0.424,32,40,0.8,18,51,125,25,9,66,93
"Al Jefferson",66,931,235,471,0.499,0,1,0,235,470,0.5,65,85,0.765,75,203,57,19,16,33,125
"C.J. Miles",76,1776,281,647,0.434,169,409,0.413,112,238,0.471,84,93,0.903,30,199,48,46,25,40,151
"Georges Niang",23,93,9,36,0.25,1,12,0.083,8,24,0.333,2,2,1,2,15,5,3,0,5,6
"Jeff Teague",82,2657,402,909,0.442,90,252,0.357,312,657,0.475,360,415,0.867,33,298,639,100,32,216,165
"Joe Young",33,135,26,72,0.361,5,23,0.217,21,49,0.429,11,15,0.733,1,16,15,4,0,5,5
"Kevin Seraphin",49,559,109,198,0.551,0,2,0,109,196,0.556,14,22,0.636,41,101,23,7,20,29,66
"Lance Stephenson",6,132,18,44,0.409,5,8,0.625,13,36,0.361,2,3,0.667,1,23,25,3,2,11,12
"Lavoy Allen",61,871,77,168,0.458,0,1,0,77,167,0.461,23,33,0.697,105,115,57,18,24,29,78
"Monta Ellis",74,1998,247,557,0.443,43,135,0.319,204,422,0.483,93,128,0.727,19,185,236,79,27,135,149
"Myles Turner",81,2541,444,869,0.511,40,115,0.348,404,754,0.536,245,303,0.809,139,448,106,74,173,105,262
