"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"2010-Jan","01/04","2.987","01/11","3.046","01/18","3.026","01/25","3.008","",""
"2010-Feb","02/01","2.975","02/08","2.961","02/15","2.926","02/22","2.918","",""
"2010-Mar","03/01","2.999","03/08","3.046","03/15","3.061","03/22","3.091","03/29","3.087"
"2010-Apr","04/05","3.088","04/12","3.096","04/19","3.090","04/26","3.088","",""
"2010-May","05/03","3.118","05/10","3.139","05/17","3.118","05/24","3.049","05/31","3.024"
"2010-Jun","06/07","3.068","06/14","3.053","06/21","3.100","06/28","3.126","",""
"2010-Jul","07/05","3.117","07/12","3.113","07/19","3.130","07/26","3.134","",""
"2010-Aug","08/02","3.129","08/09","3.172","08/16","3.165","08/23","3.140","08/30","3.092"
"2010-Sep","09/06","3.041","09/13","3.026","09/20","3.005","09/27","2.996","",""
"2010-Oct","10/04","3.013","10/11","3.089","10/18","3.147","10/25","3.143","",""
"2010-Nov","11/01","3.145","11/08","3.141","11/15","3.175","11/22","3.171","11/29","3.152"
"2010-Dec","12/06","3.216","12/13","3.250","12/20","3.247","12/27","3.287","",""
"2011-Jan","01/03","3.308","01/10","3.332","01/17","3.349","01/24","3.357","01/31","3.364"
"2011-Feb","02/07","3.397","02/14","3.447","02/21","3.555","02/28","3.719","",""
"2011-Mar","03/07","3.874","03/14","3.954","03/21","3.966","03/28","4.028","",""
"2011-Apr","04/04","4.057","04/11","4.161","04/18","4.205","04/25","4.217","",""
"2011-May","05/02","4.257","05/09","4.254","05/16","4.218","05/23","4.121","05/30","4.056"
"2011-Jun","06/06","3.994","06/13","3.940","06/20","3.900","06/27","3.839","",""
"2011-Jul","07/04","3.794","07/11","3.778","07/18","3.800","07/25","3.818","",""
"2011-Aug","08/01","3.811","08/08","3.798","08/15","3.734","08/22","3.734","08/29","3.809"
"2011-Sep","09/05","3.944","09/12","3.944","09/19","3.923","09/26","3.887","",""
"2011-Oct","10/03","3.835","10/10","3.815","10/17","3.864","10/24","3.858","10/31","3.846"
"2011-Nov","11/07","3.855","11/14","3.840","11/21","3.786","11/28","3.718","",""
"2011-Dec","12/05","3.655","12/12","3.611","12/19","3.556","12/26","3.576","",""
