HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2
100,100,100,100,100,100,100,100,100,12,12,18,20,20,80,90
85,95,100,95,95,95,100,100,100,12,11,16,18,19,57.6,74.7
87.5,100,85,70,100,98,,80,,7,10,10,10,,56.8,54.9
92.5,100,100,100,96.25,99,100,92.5,95,12,8,16,13,13,69.6,58.05
32.5,,65,60,,46,,,,5,5,9,,,40,16.2
75,85,92.5,95,100,91,,,90,9,11,17,,15,73.6,71.1
90,100,97.5,95,80,80,52,90,90,12,11,9,15,18,78.4,68.85
92.5,95,100,90,100,72,95,74.5,100,12,10,8,12,13,52,63.9
82.5,85,92.5,70,100,,84,90,95,12,11,18,14,19,80,73.8
75,95,95,95,95,96,,100,98,12,7,10,13,16,63.2,70.65
,77.5,,15,,70,80,80,57.5,11,8,5,7,3,21.6,50.4
95,100,100,100,100,90,100,100,70,12,12,18,16,20,77.6,87.3
82.5,,82.5,80,100,,,,70,12,9,7,9,12,42.4,41.4
80,92.5,87.5,100,100,69,51.5,80,75,12,12,15,13.5,20,70.4,68.4
87.5,100,100,100,85,90,100,100,80,12,8,13,12,15,68,70.2
50,,67.5,50,,78,41.5,82.5,80,11,4,10,14,17,40,36.9
47.5,70,77.5,30,85,55,78,92.5,80,11,8,3,,6,47.2,20.7
77.5,85,100,100,95,93,82,90,95,12,9,10,14,13,59.2,69.3
65,92.5,92.5,,95,80,74,80,80,12,10,9,13,14,64,67.95
52.5,75,85,90,86.25,99,70,100,,8,8,14,5,10,61.6,62.1
77.5,97.5,100,100,100,100,100,100,100,12,11,18,14,20,69.6,70.2
95,77.5,95,100,100,87,100,90,100,12,12,17,14,19,64,77.4
70,67.5,75,70,95,77,79,,63.5,11,11,11,,16,54.4,45
77.5,70,87.5,90,80,81,87,90,85,11,8,0,0,14,35.2,31.5
72.5,72.5,85,80,90,93,100,100,100,12,11,16,14,19,64.8,81
80,80,85,60,92.5,71,48,64,95,12,4,4,8,5,39.2,42.75
97,100,100,100,100,98,100,,96,12,9,7,,20,67.2,77.4
92.5,100,100,80,100,,83,95,90,12,8,3,15,14,50.4,61.2
87.5,55,87.5,52.5,70,98,90,90,80,12,10,12,6,16,57.6,62.1
